"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q2",74.27474,
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q3",74.47119,
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q4",74.33272,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q1",74.48933,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q2",70.61123,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q3",72.08835,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q4",73.47577,
"AUS","EMP","TOT","PC_WKGPOP","Q","2021-Q1",74.34683,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q2",73.65823,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q3",73.46721,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q4",73.63594,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q1",73.11522,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q2",71.38448,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q3",72.60997,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q4",72.46516,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",65.71932,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",65.55322,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q4",65.17051,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q1",65.24598,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q2",64.43512,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q3",64.80301,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q4",64.36613,
"CAN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",74.23333,
"CAN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",74.2,
"CAN","EMP","TOT","PC_WKGPOP","Q","2019-Q4",74.13333,
"CAN","EMP","TOT","PC_WKGPOP","Q","2020-Q1",73.03333,
"CAN","EMP","TOT","PC_WKGPOP","Q","2020-Q2",64.66666,
"CAN","EMP","TOT","PC_WKGPOP","Q","2020-Q3",70.23333,
"CAN","EMP","TOT","PC_WKGPOP","Q","2020-Q4",71.96667,
"CAN","EMP","TOT","PC_WKGPOP","Q","2021-Q1",72.06667,
"CZE","EMP","TOT","PC_WKGPOP","Q","2019-Q2",75.16412,
"CZE","EMP","TOT","PC_WKGPOP","Q","2019-Q3",75.12527,
"CZE","EMP","TOT","PC_WKGPOP","Q","2019-Q4",75.08408,
"CZE","EMP","TOT","PC_WKGPOP","Q","2020-Q1",74.92028,
"CZE","EMP","TOT","PC_WKGPOP","Q","2020-Q2",74.24398,
"CZE","EMP","TOT","PC_WKGPOP","Q","2020-Q3",74.24578,
"CZE","EMP","TOT","PC_WKGPOP","Q","2020-Q4",74.13631,
"DNK","EMP","TOT","PC_WKGPOP","Q","2019-Q2",75.01348,
"DNK","EMP","TOT","PC_WKGPOP","Q","2019-Q3",75.11373,
"DNK","EMP","TOT","PC_WKGPOP","Q","2019-Q4",75.32132,
"DNK","EMP","TOT","PC_WKGPOP","Q","2020-Q1",75.18395,
"DNK","EMP","TOT","PC_WKGPOP","Q","2020-Q2",73.89521,
"DNK","EMP","TOT","PC_WKGPOP","Q","2020-Q3",73.95798,
"DNK","EMP","TOT","PC_WKGPOP","Q","2020-Q4",74.57684,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",72.76723,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",73.05428,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q4",73.27524,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q1",73.26674,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q2",70.88503,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q3",71.75549,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q4",72.33883,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q2",65.56136,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q3",65.3323,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q4",65.91389,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q1",65.98866,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q2",64.44196,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q3",65.08636,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q4",65.5986,
"DEU","EMP","TOT","PC_WKGPOP","Q","2019-Q2",76.67345,
"DEU","EMP","TOT","PC_WKGPOP","Q","2019-Q3",76.76378,
"DEU","EMP","TOT","PC_WKGPOP","Q","2019-Q4",76.82298,"B"
"DEU","EMP","TOT","PC_WKGPOP","Q","2020-Q1",76.57148,"E"
"DEU","EMP","TOT","PC_WKGPOP","Q","2020-Q2",76.26547,"E"
"DEU","EMP","TOT","PC_WKGPOP","Q","2020-Q3",76.02626,"E"
"DEU","EMP","TOT","PC_WKGPOP","Q","2020-Q4",75.74673,"E"
"GRC","EMP","TOT","PC_WKGPOP","Q","2019-Q2",56.59154,
"GRC","EMP","TOT","PC_WKGPOP","Q","2019-Q3",56.65002,
"GRC","EMP","TOT","PC_WKGPOP","Q","2019-Q4",56.86855,
"GRC","EMP","TOT","PC_WKGPOP","Q","2020-Q1",56.71524,
"GRC","EMP","TOT","PC_WKGPOP","Q","2020-Q2",55.26184,
"GRC","EMP","TOT","PC_WKGPOP","Q","2020-Q3",56.25756,
"GRC","EMP","TOT","PC_WKGPOP","Q","2020-Q4",56.80347,
"HUN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",70.08907,
"HUN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",70.00723,
"HUN","EMP","TOT","PC_WKGPOP","Q","2019-Q4",70.21009,
"HUN","EMP","TOT","PC_WKGPOP","Q","2020-Q1",69.93896,
"HUN","EMP","TOT","PC_WKGPOP","Q","2020-Q2",68.84309,
"HUN","EMP","TOT","PC_WKGPOP","Q","2020-Q3",69.88078,
"HUN","EMP","TOT","PC_WKGPOP","Q","2020-Q4",70.04329,
"ISL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",84.90231,
"ISL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",82.47989,
"ISL","EMP","TOT","PC_WKGPOP","Q","2019-Q4",83.69937,
"ISL","EMP","TOT","PC_WKGPOP","Q","2020-Q1",83.03415,
"ISL","EMP","TOT","PC_WKGPOP","Q","2020-Q2",79.61266,
"ISL","EMP","TOT","PC_WKGPOP","Q","2020-Q3",81.63451,
"ISL","EMP","TOT","PC_WKGPOP","Q","2020-Q4",76.9638,
"IRL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",69.29079,
"IRL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",69.39823,
"IRL","EMP","TOT","PC_WKGPOP","Q","2019-Q4",69.98714,
"IRL","EMP","TOT","PC_WKGPOP","Q","2020-Q1",69.91766,
"IRL","EMP","TOT","PC_WKGPOP","Q","2020-Q2",65.86265,
"IRL","EMP","TOT","PC_WKGPOP","Q","2020-Q3",67.53184,
"IRL","EMP","TOT","PC_WKGPOP","Q","2020-Q4",67.64262,
"ITA","EMP","TOT","PC_WKGPOP","Q","2019-Q2",58.93628,
"ITA","EMP","TOT","PC_WKGPOP","Q","2019-Q3",59.05666,
"ITA","EMP","TOT","PC_WKGPOP","Q","2019-Q4",59.28461,
"ITA","EMP","TOT","PC_WKGPOP","Q","2020-Q1",59.16529,
"ITA","EMP","TOT","PC_WKGPOP","Q","2020-Q2",57.01668,
"ITA","EMP","TOT","PC_WKGPOP","Q","2020-Q3",57.67551,
"ITA","EMP","TOT","PC_WKGPOP","Q","2020-Q4",58.47471,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",77.66904,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",77.86831,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q4",77.97147,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q1",77.90604,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q2",77.06999,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q3",77.10593,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q4",77.31396,
"JPN","EMP","TOT","PC_WKGPOP","Q","2021-Q1",77.64433,
"KOR","EMP","TOT","PC_WKGPOP","Q","2019-Q2",66.67058,
"KOR","EMP","TOT","PC_WKGPOP","Q","2019-Q3",66.87704,
"KOR","EMP","TOT","PC_WKGPOP","Q","2019-Q4",67.07331,
"KOR","EMP","TOT","PC_WKGPOP","Q","2020-Q1",66.76457,
"KOR","EMP","TOT","PC_WKGPOP","Q","2020-Q2",65.34308,
"KOR","EMP","TOT","PC_WKGPOP","Q","2020-Q3",65.67959,
"KOR","EMP","TOT","PC_WKGPOP","Q","2020-Q4",65.65217,
"KOR","EMP","TOT","PC_WKGPOP","Q","2021-Q1",65.65241,
"LUX","EMP","TOT","PC_WKGPOP","Q","2019-Q2",68.47473,
"LUX","EMP","TOT","PC_WKGPOP","Q","2019-Q3",67.81838,
"LUX","EMP","TOT","PC_WKGPOP","Q","2019-Q4",67.66629,
"LUX","EMP","TOT","PC_WKGPOP","Q","2020-Q1",66.94288,
"LUX","EMP","TOT","PC_WKGPOP","Q","2020-Q2",67.10835,
"LUX","EMP","TOT","PC_WKGPOP","Q","2020-Q3",66.91861,
"LUX","EMP","TOT","PC_WKGPOP","Q","2020-Q4",68.00265,
"MEX","EMP","TOT","PC_WKGPOP","Q","2019-Q2",62.21324,
"MEX","EMP","TOT","PC_WKGPOP","Q","2019-Q3",62.27407,
"MEX","EMP","TOT","PC_WKGPOP","Q","2019-Q4",62.3434,
"MEX","EMP","TOT","PC_WKGPOP","Q","2020-Q1",62.45041,"B"
"MEX","EMP","TOT","PC_WKGPOP","Q","2020-Q3",56.92727,
"MEX","EMP","TOT","PC_WKGPOP","Q","2020-Q4",59.05467,
"MEX","EMP","TOT","PC_WKGPOP","Q","2021-Q1",59.53973,
"NLD","EMP","TOT","PC_WKGPOP","Q","2019-Q2",78.16914,
"NLD","EMP","TOT","PC_WKGPOP","Q","2019-Q3",78.30181,
"NLD","EMP","TOT","PC_WKGPOP","Q","2019-Q4",78.23564,
"NLD","EMP","TOT","PC_WKGPOP","Q","2020-Q1",78.43127,
"NLD","EMP","TOT","PC_WKGPOP","Q","2020-Q2",77.29292,
"NLD","EMP","TOT","PC_WKGPOP","Q","2020-Q3",77.60503,
"NLD","EMP","TOT","PC_WKGPOP","Q","2020-Q4",77.81055,
"NZL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",77.56414,
"NZL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",77.54951,
"NZL","EMP","TOT","PC_WKGPOP","Q","2019-Q4",77.38327,
"NZL","EMP","TOT","PC_WKGPOP","Q","2020-Q1",77.54209,
"NZL","EMP","TOT","PC_WKGPOP","Q","2020-Q2",76.79657,
"NZL","EMP","TOT","PC_WKGPOP","Q","2020-Q3",76.21935,
"NZL","EMP","TOT","PC_WKGPOP","Q","2020-Q4",76.60301,
"NZL","EMP","TOT","PC_WKGPOP","Q","2021-Q1",76.93766,
"NOR","EMP","TOT","PC_WKGPOP","Q","2019-Q2",75.15035,
"NOR","EMP","TOT","PC_WKGPOP","Q","2019-Q3",75.70994,
"NOR","EMP","TOT","PC_WKGPOP","Q","2019-Q4",75.35428,
"NOR","EMP","TOT","PC_WKGPOP","Q","2020-Q1",75.43788,
"NOR","EMP","TOT","PC_WKGPOP","Q","2020-Q2",74.4568,
"NOR","EMP","TOT","PC_WKGPOP","Q","2020-Q3",74.30671,
"NOR","EMP","TOT","PC_WKGPOP","Q","2020-Q4",74.46207,
"POL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",68.11303,
"POL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",68.411,
"POL","EMP","TOT","PC_WKGPOP","Q","2019-Q4",68.58274,
"POL","EMP","TOT","PC_WKGPOP","Q","2020-Q1",68.75739,
"POL","EMP","TOT","PC_WKGPOP","Q","2020-Q2",67.88168,
"POL","EMP","TOT","PC_WKGPOP","Q","2020-Q3",68.71559,
"POL","EMP","TOT","PC_WKGPOP","Q","2020-Q4",69.32494,
"PRT","EMP","TOT","PC_WKGPOP","Q","2019-Q2",70.3581,
"PRT","EMP","TOT","PC_WKGPOP","Q","2019-Q3",70.67646,
"PRT","EMP","TOT","PC_WKGPOP","Q","2019-Q4",70.57321,
"PRT","EMP","TOT","PC_WKGPOP","Q","2020-Q1",70.23845,
"PRT","EMP","TOT","PC_WKGPOP","Q","2020-Q2",67.9015,
"PRT","EMP","TOT","PC_WKGPOP","Q","2020-Q3",68.48276,
"PRT","EMP","TOT","PC_WKGPOP","Q","2020-Q4",69.45118,
"SVK","EMP","TOT","PC_WKGPOP","Q","2019-Q2",68.47121,
"SVK","EMP","TOT","PC_WKGPOP","Q","2019-Q3",68.3993,
"SVK","EMP","TOT","PC_WKGPOP","Q","2019-Q4",68.29833,
"SVK","EMP","TOT","PC_WKGPOP","Q","2020-Q1",67.89323,
"SVK","EMP","TOT","PC_WKGPOP","Q","2020-Q2",67.35765,
"SVK","EMP","TOT","PC_WKGPOP","Q","2020-Q3",67.40516,
"SVK","EMP","TOT","PC_WKGPOP","Q","2020-Q4",67.42998,
"ESP","EMP","TOT","PC_WKGPOP","Q","2019-Q2",63.30124,
"ESP","EMP","TOT","PC_WKGPOP","Q","2019-Q3",63.28376,
"ESP","EMP","TOT","PC_WKGPOP","Q","2019-Q4",63.52067,
"ESP","EMP","TOT","PC_WKGPOP","Q","2020-Q1",63.12761,
"ESP","EMP","TOT","PC_WKGPOP","Q","2020-Q2",58.90062,
"ESP","EMP","TOT","PC_WKGPOP","Q","2020-Q3",60.61577,
"ESP","EMP","TOT","PC_WKGPOP","Q","2020-Q4",61.1055,
"SWE","EMP","TOT","PC_WKGPOP","Q","2019-Q2",77.2305,
"SWE","EMP","TOT","PC_WKGPOP","Q","2019-Q3",77.25439,
"SWE","EMP","TOT","PC_WKGPOP","Q","2019-Q4",76.98352,
"SWE","EMP","TOT","PC_WKGPOP","Q","2020-Q1",76.08246,
"SWE","EMP","TOT","PC_WKGPOP","Q","2020-Q2",75.19421,
"SWE","EMP","TOT","PC_WKGPOP","Q","2020-Q3",75.20215,
"SWE","EMP","TOT","PC_WKGPOP","Q","2020-Q4",75.40676,
"CHE","EMP","TOT","PC_WKGPOP","Q","2019-Q2",80.46532,
"CHE","EMP","TOT","PC_WKGPOP","Q","2019-Q3",80.49581,
"CHE","EMP","TOT","PC_WKGPOP","Q","2019-Q4",80.71791,
"CHE","EMP","TOT","PC_WKGPOP","Q","2020-Q1",80.51087,
"CHE","EMP","TOT","PC_WKGPOP","Q","2020-Q2",79.10891,
"CHE","EMP","TOT","PC_WKGPOP","Q","2020-Q3",79.8461,
"CHE","EMP","TOT","PC_WKGPOP","Q","2020-Q4",80.27068,
"TUR","EMP","TOT","PC_WKGPOP","Q","2019-Q2",50.05759,
"TUR","EMP","TOT","PC_WKGPOP","Q","2019-Q3",50.1087,
"TUR","EMP","TOT","PC_WKGPOP","Q","2019-Q4",50.38183,
"TUR","EMP","TOT","PC_WKGPOP","Q","2020-Q1",48.95866,
"TUR","EMP","TOT","PC_WKGPOP","Q","2020-Q2",45.38087,
"TUR","EMP","TOT","PC_WKGPOP","Q","2020-Q3",47.79826,
"TUR","EMP","TOT","PC_WKGPOP","Q","2020-Q4",47.93672,
"GBR","EMP","TOT","PC_WKGPOP","Q","2019-Q2",76.10236,
"GBR","EMP","TOT","PC_WKGPOP","Q","2019-Q3",76.04665,
"GBR","EMP","TOT","PC_WKGPOP","Q","2019-Q4",76.4713,
"GBR","EMP","TOT","PC_WKGPOP","Q","2020-Q1",76.34015,
"GBR","EMP","TOT","PC_WKGPOP","Q","2020-Q2",75.84628,
"GBR","EMP","TOT","PC_WKGPOP","Q","2020-Q3",75.25354,
"GBR","EMP","TOT","PC_WKGPOP","Q","2020-Q4",74.96857,
"GBR","EMP","TOT","PC_WKGPOP","Q","2021-Q1",75.1566,
"USA","EMP","TOT","PC_WKGPOP","Q","2019-Q2",71.15694,
"USA","EMP","TOT","PC_WKGPOP","Q","2019-Q3",71.50278,
"USA","EMP","TOT","PC_WKGPOP","Q","2019-Q4",71.68114,
"USA","EMP","TOT","PC_WKGPOP","Q","2020-Q1",71.31628,
"USA","EMP","TOT","PC_WKGPOP","Q","2020-Q2",62.34845,
"USA","EMP","TOT","PC_WKGPOP","Q","2020-Q3",66.50231,
"USA","EMP","TOT","PC_WKGPOP","Q","2020-Q4",67.91991,
"USA","EMP","TOT","PC_WKGPOP","Q","2021-Q1",68.36792,
"CHL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",64.36842,
"CHL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",64.76825,
"CHL","EMP","TOT","PC_WKGPOP","Q","2019-Q4",63.65433,
"CHL","EMP","TOT","PC_WKGPOP","Q","2020-Q1",63.00223,
"CHL","EMP","TOT","PC_WKGPOP","Q","2020-Q2",51.36373,
"CHL","EMP","TOT","PC_WKGPOP","Q","2020-Q3",52.89786,
"CHL","EMP","TOT","PC_WKGPOP","Q","2020-Q4",56.16418,
"CHL","EMP","TOT","PC_WKGPOP","Q","2021-Q1",57.20514,
"EST","EMP","TOT","PC_WKGPOP","Q","2019-Q2",74.80654,
"EST","EMP","TOT","PC_WKGPOP","Q","2019-Q3",75.61336,
"EST","EMP","TOT","PC_WKGPOP","Q","2019-Q4",75.94595,
"EST","EMP","TOT","PC_WKGPOP","Q","2020-Q1",75.66681,
"EST","EMP","TOT","PC_WKGPOP","Q","2020-Q2",72.2289,
"EST","EMP","TOT","PC_WKGPOP","Q","2020-Q3",72.93197,
"EST","EMP","TOT","PC_WKGPOP","Q","2020-Q4",74.05358,
"ISR","EMP","TOT","PC_WKGPOP","Q","2019-Q2",68.95507,
"ISR","EMP","TOT","PC_WKGPOP","Q","2019-Q3",68.74448,
"ISR","EMP","TOT","PC_WKGPOP","Q","2019-Q4",68.64555,
"ISR","EMP","TOT","PC_WKGPOP","Q","2020-Q1",68.64802,
"ISR","EMP","TOT","PC_WKGPOP","Q","2020-Q2",66.56809,
"ISR","EMP","TOT","PC_WKGPOP","Q","2020-Q3",66.07698,
"ISR","EMP","TOT","PC_WKGPOP","Q","2020-Q4",65.84781,
"ISR","EMP","TOT","PC_WKGPOP","Q","2021-Q1",65.39723,
"SVN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",72.34039,
"SVN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",71.57346,
"SVN","EMP","TOT","PC_WKGPOP","Q","2019-Q4",71.54473,
"SVN","EMP","TOT","PC_WKGPOP","Q","2020-Q1",71.99259,
"SVN","EMP","TOT","PC_WKGPOP","Q","2020-Q2",70.00586,
"SVN","EMP","TOT","PC_WKGPOP","Q","2020-Q3",70.37357,
"SVN","EMP","TOT","PC_WKGPOP","Q","2020-Q4",71.05602,
"OECD","EMP","TOT","PC_WKGPOP","Q","2019-Q2",68.66132,
"OECD","EMP","TOT","PC_WKGPOP","Q","2019-Q3",68.78858,
"OECD","EMP","TOT","PC_WKGPOP","Q","2019-Q4",68.92593,"B"
"OECD","EMP","TOT","PC_WKGPOP","Q","2020-Q1",68.57313,"E"
"OECD","EMP","TOT","PC_WKGPOP","Q","2020-Q2",63.49141,"E"
"OECD","EMP","TOT","PC_WKGPOP","Q","2020-Q3",65.71686,"E"
"OECD","EMP","TOT","PC_WKGPOP","Q","2020-Q4",66.64372,"E"
"COL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",65.09742,
"COL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",65.05573,
"COL","EMP","TOT","PC_WKGPOP","Q","2019-Q4",64.96358,
"COL","EMP","TOT","PC_WKGPOP","Q","2020-Q1",63.38176,
"COL","EMP","TOT","PC_WKGPOP","Q","2020-Q2",50.49846,
"COL","EMP","TOT","PC_WKGPOP","Q","2020-Q3",56.35007,
"COL","EMP","TOT","PC_WKGPOP","Q","2020-Q4",59.8971,
"COL","EMP","TOT","PC_WKGPOP","Q","2021-Q1",60.92492,
"LVA","EMP","TOT","PC_WKGPOP","Q","2019-Q2",72.25986,
"LVA","EMP","TOT","PC_WKGPOP","Q","2019-Q3",72.62627,
"LVA","EMP","TOT","PC_WKGPOP","Q","2019-Q4",72.48595,
"LVA","EMP","TOT","PC_WKGPOP","Q","2020-Q1",72.02483,
"LVA","EMP","TOT","PC_WKGPOP","Q","2020-Q2",71.91377,
"LVA","EMP","TOT","PC_WKGPOP","Q","2020-Q3",71.27883,
"LVA","EMP","TOT","PC_WKGPOP","Q","2020-Q4",71.25323,
"LTU","EMP","TOT","PC_WKGPOP","Q","2019-Q2",73.01182,
"LTU","EMP","TOT","PC_WKGPOP","Q","2019-Q3",73.06641,
"LTU","EMP","TOT","PC_WKGPOP","Q","2019-Q4",73.07919,
"LTU","EMP","TOT","PC_WKGPOP","Q","2020-Q1",72.95614,
"LTU","EMP","TOT","PC_WKGPOP","Q","2020-Q2",71.65211,
"LTU","EMP","TOT","PC_WKGPOP","Q","2020-Q3",70.70251,
"LTU","EMP","TOT","PC_WKGPOP","Q","2020-Q4",71.14626,
